"show","theater","week_date","this_week_gross","potential_gross","avg_ticket_price","top_ticket_price","seats_sold","seats_in_theater","performances","previews","capacity"
"The Producers","St. James Theatre",2005-01-02,1217945,1173600,79.08,240,15402,1706,9,0,100.31
"The Rivals","Vivian Beaumont Theater",2005-01-02,339219,692640,59.13,85,5737,1058,8,0,67.78
"Twelve Angry Men","American Airlines Theatre",2005-01-02,408193,453440,70.72,86.25,5772,740,8,0,97.5
"Whoopi","Lyceum Theatre",2005-01-02,279222,441971,54.58,76.25,5116,922,8,0,69.36
"Wicked","Gershwin Theatre",2005-01-02,1276328,1155784,88.19,240,14472,1809,8,0,100
"Wonderful Town","Al Hirschfeld Theatre",2005-01-02,772385,949032,81.75,95,9448,1437,8,0,82.19
"'night, Mother","Royale Theatre",2005-01-09,165921,644317,52.24,86.25,3176,1078,8,0,36.83
"700 Sundays","Broadhurst Theatre",2005-01-09,819002,742094,97.58,101.25,8393,1186,7,0,101.1
"Avenue Q","John Golden Theatre",2005-01-09,514456,480786,81.95,201.25,6278,796,8,0,98.59
"Beauty and the Beast","Palace Theatre",2005-01-09,651563,845808,61.63,100,10573,1509,8,0,87.58
"Brooklyn","Plymouth Theatre",2005-01-09,295879,727492,50.17,100,5897,1044,8,0,70.61
"Chicago","Ambassador Theatre",2005-01-09,556814,716419,68.67,240,8109,1080,8,0,93.85
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-01-09,313192,532245,65.56,86.25,4777,999,7,0,68.31
"Democracy","Brooks Atkinson Theatre",2005-01-09,336294,660140,61.27,95,5489,1052,8,0,65.22
"Fiddler on the Roof","Minskoff Theatre",2005-01-09,601947,1071158,48.33,100,12456,1691,8,0,92.08
"Gem of the Ocean","Walter Kerr Theatre",2005-01-09,253924,539964,47.46,85,5350,939,8,0,71.22
"Hairspray","Neil Simon Theatre",2005-01-09,736746,967679,70.2,240,10495,1428,8,0,91.87
"La Cage aux Folles","Marquis Theatre",2005-01-09,629357,1041357,64.05,100,9826,1566,8,0,78.43
"Mamma Mia!","Broadhurst Theatre",2005-01-09,922791,1033311,77.16,201.25,11960,1498,8,0,99.8
"Movin' Out","Richard Rodgers Theatre",2005-01-09,600063,824208,64.71,240,9273,1322,8,0,87.68
"Pacific Overtures","Studio 54",2005-01-09,340866,453440,53.88,91.25,6326,923,8,0,85.67
"Rent","Nederlander Theatre",2005-01-09,449584,528739,52.98,85,8486,1181,8,0,89.82
"The Lion King","Minskoff Theatre",2005-01-09,1153361,1264960,79.86,100,14443,1801,8,0,100.24
"The Phantom of the Opera","Majestic Theatre",2005-01-09,716682,1002310,55.73,200,12860,1607,8,0,100.03
"The Producers","St. James Theatre",2005-01-09,850764,1042163,69.29,240,12279,1706,8,0,89.97
"The Rivals","Vivian Beaumont Theater",2005-01-09,258249,692640,51.67,85,4998,1058,8,0,59.05
"Twelve Angry Men","American Airlines Theatre",2005-01-09,352429,470800,64.32,86.25,5479,740,8,0,92.55
"Whoopi","Lyceum Theatre",2005-01-09,199240,386725,54.78,76.25,3637,922,7,0,56.35
"Wicked","Gershwin Theatre",2005-01-09,1258911,1155784,86.99,240,14472,1809,8,0,100
"Wonderful Town","Al Hirschfeld Theatre",2005-01-09,443118,949032,65.41,95,6774,1437,8,0,58.92
"700 Sundays","Broadhurst Theatre",2005-01-16,851290,742094,101.18,101.25,8414,1186,7,0,101.35
"Avenue Q","John Golden Theatre",2005-01-16,512469,480786,81.51,201.25,6287,796,8,0,98.73
"Beauty and the Beast","Palace Theatre",2005-01-16,595698,845808,64.91,100,9177,1509,8,0,76.02
"Brooklyn","Plymouth Theatre",2005-01-16,289453,727492,51.91,100,5576,1044,8,0,66.76
"Chicago","Ambassador Theatre",2005-01-16,505489,716419,66.94,240,7551,1080,8,0,87.4
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-01-16,335307,532245,66.4,86.25,5050,999,7,0,72.22
"Democracy","Brooks Atkinson Theatre",2005-01-16,361069,660140,60.41,95,5977,1052,8,0,71.02
"Fiddler on the Roof","Minskoff Theatre",2005-01-16,638666,1071158,55.22,100,11566,1691,8,0,85.5
"Gem of the Ocean","Walter Kerr Theatre",2005-01-16,232617,539964,48.08,85,4838,939,8,0,64.4
"Hairspray","Neil Simon Theatre",2005-01-16,705019,967679,73.89,240,9541,1428,8,0,83.52
"La Cage aux Folles","Marquis Theatre",2005-01-16,645938,1041357,65.48,100,9865,1566,8,0,78.74
"Mamma Mia!","Broadhurst Theatre",2005-01-16,899393,1033311,76.43,201.25,11768,1498,8,0,98.2
"Movin' Out","Richard Rodgers Theatre",2005-01-16,579949,824208,69.31,240,8368,1322,8,0,79.12
"Pacific Overtures","Studio 54",2005-01-16,349271,453440,53.91,91.25,6479,923,8,0,87.74
"Rent","Nederlander Theatre",2005-01-16,438827,528739,51.87,85,8460,1181,8,0,89.54
"The Lion King","Minskoff Theatre",2005-01-16,1073410,1264960,79.43,100,13514,1801,8,0,93.8
"The Phantom of the Opera","Majestic Theatre",2005-01-16,659015,1002310,53.98,200,12209,1607,8,0,94.97
"The Producers","St. James Theatre",2005-01-16,822288,1042163,74.33,240,11063,1706,8,0,81.06
"The Rivals","Vivian Beaumont Theater",2005-01-16,323933,692640,50.81,85,6375,1058,8,0,75.32
"Twelve Angry Men","American Airlines Theatre",2005-01-16,345446,470800,62.5,86.25,5527,740,8,0,93.36
"Whoopi","Lyceum Theatre",2005-01-16,231438,386725,50.62,76.25,4572,922,7,0,70.84
"Wicked","Gershwin Theatre",2005-01-16,1246349,1155784,86.12,240,14472,1809,8,0,100
"Wonderful Town","Al Hirschfeld Theatre",2005-01-16,506530,949032,69.62,95,7276,1437,8,0,63.29
"700 Sundays","Broadhurst Theatre",2005-01-23,810281,742094,97.59,101.25,8303,1186,7,0,100.01
"Avenue Q","John Golden Theatre",2005-01-23,482326,480786,78.88,201.25,6115,796,8,0,96.03
"Beauty and the Beast","Palace Theatre",2005-01-23,423937,845808,59.61,100,7112,1509,8,0,58.91
"Brooklyn","Plymouth Theatre",2005-01-23,213326,727492,48.78,100,4373,1044,8,0,52.36
"Chicago","Ambassador Theatre",2005-01-23,345148,716419,61.2,240,5640,1080,8,0,65.28
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-01-23,250846,532245,67.94,86.25,3692,999,7,0,52.8
"Democracy","Brooks Atkinson Theatre",2005-01-23,275617,660140,60.24,95,4575,1052,8,0,54.36
"Fiddler on the Roof","Minskoff Theatre",2005-01-23,483528,1071158,46.4,100,10420,1691,8,0,77.03
"Gem of the Ocean","Walter Kerr Theatre",2005-01-23,185270,539964,45.54,85,4068,939,8,0,54.15
"Hairspray","Neil Simon Theatre",2005-01-23,551527,967679,67.43,240,8179,1428,8,0,71.59
"La Cage aux Folles","Marquis Theatre",2005-01-23,557990,1041357,61.9,100,9014,1566,8,0,71.95
"Little Women","Virginia Theatre",2005-01-23,342638,843952,60.84,99,5632,1222,1,7,57.61
"Mamma Mia!","Broadhurst Theatre",2005-01-23,830708,1033311,74.89,201.25,11093,1498,8,0,92.57
"Movin' Out","Richard Rodgers Theatre",2005-01-23,479206,824208,62.64,240,7650,1322,8,0,72.33
"Pacific Overtures","Studio 54",2005-01-23,303135,453440,52.73,91.25,5749,923,8,0,77.86
"Rent","Nederlander Theatre",2005-01-23,273734,528739,47.39,85,5776,1181,8,0,61.13
"The Lion King","Minskoff Theatre",2005-01-23,963803,1264960,77.85,100,12380,1801,8,0,85.92
"The Phantom of the Opera","Majestic Theatre",2005-01-23,632041,1002310,54.14,200,11675,1607,8,0,90.81
"The Producers","St. James Theatre",2005-01-23,696645,1042163,72.53,240,9605,1706,8,0,70.38
"The Rivals","Vivian Beaumont Theater",2005-01-23,257862,692640,50.51,85,5105,1058,8,0,60.31
"Twelve Angry Men","American Airlines Theatre",2005-01-23,291097,470800,57.94,86.25,5024,740,8,0,84.86
"Whoopi","Lyceum Theatre",2005-01-23,189230,386725,53.56,76.25,3533,922,7,0,54.74
"Wicked","Gershwin Theatre",2005-01-23,1232405,1155784,85.16,240,14472,1809,8,0,100
"Wonderful Town","Al Hirschfeld Theatre",2005-01-23,373957,949032,65.17,95,5738,1437,8,0,49.91
"700 Sundays","Broadhurst Theatre",2005-01-30,811060,742094,97.49,101.25,8319,1186,7,0,100.2
"Avenue Q","John Golden Theatre",2005-01-30,484447,480786,79.3,201.25,6109,796,8,0,95.93
"Beauty and the Beast","Palace Theatre",2005-01-30,465463,845808,55.66,100,8363,1509,8,0,69.28
"Brooklyn","Plymouth Theatre",2005-01-30,248059,727492,49.98,100,4963,1044,8,0,59.42
"Chicago","Ambassador Theatre",2005-01-30,370492,716419,61.17,240,6057,1080,8,0,70.1
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-01-30,260753,532245,65.24,86.25,3997,999,7,0,57.16
"Democracy","Brooks Atkinson Theatre",2005-01-30,302105,660140,57.09,95,5292,1052,8,0,62.88
"Fiddler on the Roof","Minskoff Theatre",2005-01-30,569792,1071158,59.95,100,9505,1691,8,0,70.26
"Gem of the Ocean","Walter Kerr Theatre",2005-01-30,223547,539964,43.44,85,5146,939,8,0,68.5
"Hairspray","Neil Simon Theatre",2005-01-30,600592,967679,67.26,240,8929,1428,8,0,78.16
"La Cage aux Folles","Marquis Theatre",2005-01-30,571243,1041357,62.19,100,9185,1566,8,0,73.32
"Little Women","Virginia Theatre",2005-01-30,453011,843952,61.84,99,7325,1222,8,0,74.93
"Mamma Mia!","Broadhurst Theatre",2005-01-30,830610,1033311,73.69,201.25,11271,1498,8,0,94.05
"Movin' Out","Richard Rodgers Theatre",2005-01-30,501196,824208,62.51,240,8018,1322,8,0,75.81
"Pacific Overtures","Studio 54",2005-01-30,325514,453440,46.59,91.25,6987,923,8,0,94.62
"Rent","Nederlander Theatre",2005-01-30,296740,528739,47.38,85,6263,1181,8,0,66.29
"The Lion King","Minskoff Theatre",2005-01-30,957327,1264960,78.55,100,12187,1801,8,0,84.58
"The Phantom of the Opera","Majestic Theatre",2005-01-30,606141,1002310,54.3,200,11163,1607,8,0,86.83
"The Producers","St. James Theatre",2005-01-30,717402,1042163,71.5,240,10034,1706,8,0,73.52
"Twelve Angry Men","American Airlines Theatre",2005-01-30,289960,470800,56.16,86.25,5163,740,8,0,87.21
"Whoopi","Lyceum Theatre",2005-01-30,277913,386725,56.16,76.25,4949,922,7,0,76.68
"Wicked","Gershwin Theatre",2005-01-30,1226773,1155784,84.77,240,14472,1809,8,0,100
"Wonderful Town","Al Hirschfeld Theatre",2005-01-30,502476,949032,65.53,95,7668,1437,8,0,66.7
"700 Sundays","Broadhurst Theatre",2005-02-06,751561,742094,90.67,101.25,8289,1186,7,0,99.84
"Avenue Q","John Golden Theatre",2005-02-06,430043,480786,76.1,201.25,5651,796,8,0,88.74
"Beauty and the Beast","Palace Theatre",2005-02-06,452382,845808,55.91,100,8091,1509,8,0,67.02
"Brooklyn","Plymouth Theatre",2005-02-06,194909,727492,49.7,100,3922,1044,8,0,46.96
"Brooklyn Boy","Biltmore Theatre",2005-02-06,160893,374254,49.26,78,3266,650,6,2,62.81
"Chicago","Ambassador Theatre",2005-02-06,340781,716419,59,240,5776,1080,8,0,66.85
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-02-06,230182,532245,62.28,86.25,3696,999,7,0,52.85
"Democracy","Brooks Atkinson Theatre",2005-02-06,253086,660140,49.61,95,5102,1052,8,0,60.62
"Fiddler on the Roof","Minskoff Theatre",2005-02-06,521935,1071158,57.42,100,9089,1691,8,0,67.19
"Gem of the Ocean","Walter Kerr Theatre",2005-02-06,295381,539964,47.06,85,6277,939,8,0,83.56
"Good Vibrations","Eugene O'Neill Theatre",2005-02-06,335506,749350,61.71,100,5437,1077,6,2,63.1
"Hairspray","Neil Simon Theatre",2005-02-06,586489,967679,64.51,240,9092,1428,8,0,79.59
"La Cage aux Folles","Marquis Theatre",2005-02-06,443057,1041357,58.12,100,7623,1566,8,0,60.85
"Little Women","Virginia Theatre",2005-02-06,415579,843952,59.99,99,6927,1222,8,0,70.86
"Mamma Mia!","Broadhurst Theatre",2005-02-06,805213,1033311,72.18,201.25,11156,1498,8,0,93.09
"Movin' Out","Richard Rodgers Theatre",2005-02-06,461246,824208,61.42,240,7510,1322,8,0,71.01
"Rent","Nederlander Theatre",2005-02-06,243723,528739,49.47,85,4927,1181,8,0,52.15
"The Lion King","Minskoff Theatre",2005-02-06,939792,1264960,77.6,100,12110,1801,8,0,84.05
"The Phantom of the Opera","Majestic Theatre",2005-02-06,583761,1002310,54.97,200,10619,1607,8,0,82.6
"The Producers","St. James Theatre",2005-02-06,648390,1042163,70.55,240,9191,1706,8,0,67.34
"Twelve Angry Men","American Airlines Theatre",2005-02-06,273914,470800,54.98,86.25,4982,740,8,0,84.16
"Wicked","Gershwin Theatre",2005-02-06,1203023,1155784,83.64,240,14384,1809,8,0,99.39
"700 Sundays","Broadhurst Theatre",2005-02-13,749982,742094,90.95,101.25,8246,1186,7,0,99.33
"Avenue Q","John Golden Theatre",2005-02-13,451082,480786,77.64,201.25,5810,796,8,0,91.24
"Beauty and the Beast","Palace Theatre",2005-02-13,583330,845808,58.83,100,9915,1509,8,0,82.13
"Brooklyn","Plymouth Theatre",2005-02-13,253362,727492,51.27,100,4942,1044,8,0,59.17
"Brooklyn Boy","Biltmore Theatre",2005-02-13,201026,368611,52.31,78,3843,650,8,0,73.9
"Chicago","Ambassador Theatre",2005-02-13,512525,716419,65.67,240,7804,1080,8,0,90.32
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-02-13,262235,532245,61.31,86.25,4277,999,7,0,61.16
"Democracy","Brooks Atkinson Theatre",2005-02-13,262845,660140,51.59,95,5095,1052,8,0,60.54
"Fiddler on the Roof","Minskoff Theatre",2005-02-13,644618,1071158,61.93,100,10408,1691,8,0,76.94
"Good Vibrations","Eugene O'Neill Theatre",2005-02-13,329897,749350,71.75,100,4598,1077,8,0,53.37
"Hairspray","Neil Simon Theatre",2005-02-13,644259,967679,66.55,240,9681,1428,8,0,84.74
"La Cage aux Folles","Marquis Theatre",2005-02-13,530819,1041357,60.23,100,8813,1566,8,0,70.35
"Little Women","Virginia Theatre",2005-02-13,400115,843952,60.37,99,6628,1222,8,0,67.8
"Mamma Mia!","Broadhurst Theatre",2005-02-13,871808,1033311,75.84,201.25,11495,1498,8,0,95.92
"Movin' Out","Richard Rodgers Theatre",2005-02-13,500410,824208,64.02,240,7817,1322,8,0,73.91
"Rent","Nederlander Theatre",2005-02-13,374735,528739,54.43,85,6885,1181,8,0,72.87
"The Lion King","Minskoff Theatre",2005-02-13,1054043,1264960,78.35,100,13453,1801,8,0,93.37
"The Phantom of the Opera","Majestic Theatre",2005-02-13,649932,1002310,55.22,200,11769,1607,8,0,91.54
"The Producers","St. James Theatre",2005-02-13,733828,1042163,72.69,240,10096,1706,8,0,73.97
"Twelve Angry Men","American Airlines Theatre",2005-02-13,266251,470800,54.78,86.25,4860,740,8,0,82.09
"Wicked","Gershwin Theatre",2005-02-13,1200119,1155784,83.34,240,14400,1809,8,0,99.5
"700 Sundays","Broadhurst Theatre",2005-02-20,799998,742094,94.83,101.25,8436,1186,7,0,101.61
"Avenue Q","John Golden Theatre",2005-02-20,492341,480786,78.59,201.25,6265,796,8,0,98.38
"Beauty and the Beast","Palace Theatre",2005-02-20,711776,845808,64.56,100,11025,1509,8,0,91.33
"Brooklyn","Plymouth Theatre",2005-02-20,237713,603044,50.45,95,4712,1044,7,0,64.48
"Brooklyn Boy","Biltmore Theatre",2005-02-20,221337,368611,51.44,78,4303,650,8,0,82.75
"Chicago","Ambassador Theatre",2005-02-20,596435,716419,70,240,8520,1080,8,0,98.61
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-02-20,295062,532245,62.58,86.25,4715,999,7,0,67.42
"Democracy","Brooks Atkinson Theatre",2005-02-20,327629,660140,55,95,5957,1052,8,0,70.78
"Fiddler on the Roof","Minskoff Theatre",2005-02-20,727041,1071158,65.07,100,11174,1691,8,0,82.6
"Good Vibrations","Eugene O'Neill Theatre",2005-02-20,348738,749350,70.57,100,4942,1077,8,0,57.36
"Hairspray","Neil Simon Theatre",2005-02-20,738532,967679,70.65,240,10454,1428,8,0,91.51
"La Cage aux Folles","Marquis Theatre",2005-02-20,583198,1041357,59.26,100,9841,1566,8,0,78.55
"Little Women","Virginia Theatre",2005-02-20,460727,843952,62.61,99,7359,1222,8,0,75.28
"Mamma Mia!","Broadhurst Theatre",2005-02-20,945892,1033311,80.89,201.25,11694,1498,8,0,97.58
"Movin' Out","Richard Rodgers Theatre",2005-02-20,671303,824208,72.65,240,9240,1322,8,0,87.37
"Rent","Nederlander Theatre",2005-02-20,473722,528739,54.24,85,8734,1181,8,0,92.44
"The Lion King","Minskoff Theatre",2005-02-20,1100550,1264960,80.25,100,13714,1801,8,0,95.18
"The Phantom of the Opera","Majestic Theatre",2005-02-20,712597,1002310,58.27,200,12230,1607,8,0,95.13
"The Producers","St. James Theatre",2005-02-20,843730,1042163,74.17,240,11376,1706,8,0,83.35
"Twelve Angry Men","American Airlines Theatre",2005-02-20,295780,470800,57.91,86.25,5108,740,8,0,86.28
"Wicked","Gershwin Theatre",2005-02-20,1241283,1155784,85.77,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-02-27,780945,742094,93.31,101.25,8369,1186,7,0,100.81
"Avenue Q","John Golden Theatre",2005-02-27,489837,480786,77.7,201.25,6304,796,8,0,98.99
"Beauty and the Beast","Palace Theatre",2005-02-27,674753,845808,60.97,100,11067,1509,8,0,91.67
"Brooklyn","Plymouth Theatre",2005-02-27,295336,727492,45.81,95,6447,1044,8,0,77.19
"Brooklyn Boy","Biltmore Theatre",2005-02-27,236070,368611,50.63,78,4663,650,8,0,89.67
"Chicago","Ambassador Theatre",2005-02-27,528777,716419,65.62,240,8058,1080,8,0,93.26
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-02-27,270348,532245,60.48,86.25,4470,999,7,0,63.92
"Democracy","Brooks Atkinson Theatre",2005-02-27,265515,660140,53.32,95,4980,1052,8,0,59.17
"Fiddler on the Roof","Minskoff Theatre",2005-02-27,788627,1071158,65.66,100,12010,1691,8,0,88.78
"Good Vibrations","Eugene O'Neill Theatre",2005-02-27,294249,749350,67.03,100,4390,1077,8,0,50.95
"Hairspray","Neil Simon Theatre",2005-02-27,801710,967679,69.98,240,11457,1428,8,0,100.29
"La Cage aux Folles","Marquis Theatre",2005-02-27,582302,1041357,56.03,100,10392,1566,8,0,82.95
"Little Women","Virginia Theatre",2005-02-27,481519,843952,62.57,99,7696,1222,8,0,78.72
"Mamma Mia!","Broadhurst Theatre",2005-02-27,950027,1033311,78.78,201.25,12059,1498,8,0,100.63
"Movin' Out","Richard Rodgers Theatre",2005-02-27,664740,824208,68.28,240,9736,1322,8,0,92.06
"Rent","Nederlander Theatre",2005-02-27,421752,528739,52.81,85,7986,1181,8,0,84.53
"The Lion King","Minskoff Theatre",2005-02-27,1182086,1264960,81.66,100,14475,1801,8,0,100.47
"The Phantom of the Opera","Majestic Theatre",2005-02-27,717378,1002310,57.58,200,12458,1607,8,0,96.9
"The Producers","St. James Theatre",2005-02-27,898872,1042163,69.11,240,13006,1706,8,0,95.3
"Twelve Angry Men","American Airlines Theatre",2005-02-27,309786,470800,55.84,86.25,5548,740,8,0,93.72
"Wicked","Gershwin Theatre",2005-02-27,1269846,1155784,87.75,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-03-06,783705,742094,92.82,101.25,8443,1186,7,0,101.7
"Avenue Q","John Golden Theatre",2005-03-06,446805,480786,77.28,201.25,5782,796,8,0,90.8
"Beauty and the Beast","Palace Theatre",2005-03-06,540875,845808,55.29,100,9783,1509,8,0,81.04
"Brooklyn","Plymouth Theatre",2005-03-06,186243,727492,49.94,95,3729,1044,8,0,44.65
"Brooklyn Boy","Biltmore Theatre",2005-03-06,222619,368611,48.53,78,4587,650,8,0,88.21
"Chicago","Ambassador Theatre",2005-03-06,451781,716419,60.87,240,7422,1080,8,0,85.9
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-03-06,214829,532245,59.87,86.25,3588,999,7,0,51.31
"Democracy","Brooks Atkinson Theatre",2005-03-06,183004,660140,51.05,95,3585,1052,8,0,42.6
"Dirty Rotten Scoundrels","Imperial Theatre",2005-03-06,482603,946981,65.57,101.25,7360,1435,4,4,64.11
"Fiddler on the Roof","Minskoff Theatre",2005-03-06,537847,1071158,59.69,100,9011,1691,8,0,66.61
"Good Vibrations","Eugene O'Neill Theatre",2005-03-06,271122,749350,55.39,100,4895,1077,8,0,56.81
"Hairspray","Neil Simon Theatre",2005-03-06,642146,967679,66.21,240,9699,1428,8,0,84.9
"La Cage aux Folles","Marquis Theatre",2005-03-06,390029,1041357,62.02,100,6289,1566,8,0,50.2
"Little Women","Virginia Theatre",2005-03-06,311310,843952,61.22,99,5085,1222,8,0,52.02
"Mamma Mia!","Broadhurst Theatre",2005-03-06,853148,1033311,75.23,201.25,11340,1498,8,0,94.63
"Movin' Out","Richard Rodgers Theatre",2005-03-06,482787,824208,61.59,240,7839,1322,8,0,74.12
"Rent","Nederlander Theatre",2005-03-06,311145,528739,52.57,85,5919,1181,8,0,62.65
"The Lion King","Minskoff Theatre",2005-03-06,1040347,1264960,78,100,13338,1801,8,0,92.57
"The Phantom of the Opera","Majestic Theatre",2005-03-06,622673,1002310,55.39,200,11242,1607,8,0,87.45
"The Producers","St. James Theatre",2005-03-06,710101,1042163,70.08,240,10132,1706,8,0,74.24
"Twelve Angry Men","American Airlines Theatre",2005-03-06,248837,470800,54.13,86.25,4597,740,8,0,77.65
"Wicked","Gershwin Theatre",2005-03-06,1211643,1155784,83.72,240,14472,1809,8,0,100
"700 Sundays","Broadhurst Theatre",2005-03-13,738086,633908,102.27,101.25,7217,1179,6,0,102.02
"Avenue Q","John Golden Theatre",2005-03-13,481608,480786,76.29,201.25,6313,796,8,0,99.14
"Beauty and the Beast","Palace Theatre",2005-03-13,632674,845808,57.25,100,11052,1509,8,0,91.55
"Brooklyn","Plymouth Theatre",2005-03-13,232185,727492,48.05,95,4832,1044,8,0,57.85
"Brooklyn Boy","Biltmore Theatre",2005-03-13,205333,368611,49.68,78,4133,650,8,0,79.48
"Chicago","Ambassador Theatre",2005-03-13,515707,716419,63.28,240,8150,1080,8,0,94.33
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-03-13,205274,532245,59.93,86.25,3425,999,7,0,48.98
"Democracy","Brooks Atkinson Theatre",2005-03-13,155399,660140,52.16,95,2979,1052,8,0,35.4
"Dirty Rotten Scoundrels","Imperial Theatre",2005-03-13,622965,946981,69.91,101.25,8911,1435,8,0,77.62
"Fiddler on the Roof","Minskoff Theatre",2005-03-13,608203,1071158,62.97,100,9659,1691,8,0,71.4
"Good Vibrations","Eugene O'Neill Theatre",2005-03-13,264336,749350,55.14,100,4794,1077,8,0,55.64
"Hairspray","Neil Simon Theatre",2005-03-13,711669,967679,65.2,240,10916,1428,8,0,95.55
"La Cage aux Folles","Marquis Theatre",2005-03-13,479106,1041357,57.7,100,8303,1566,8,0,66.28
"Little Women","Virginia Theatre",2005-03-13,348417,843952,63.25,99,5509,1222,8,0,56.35
"Mamma Mia!","Broadhurst Theatre",2005-03-13,900185,1033311,75.36,201.25,11945,1498,8,0,99.67
"Movin' Out","Richard Rodgers Theatre",2005-03-13,530931,824208,62.62,240,8478,1322,8,0,80.16
"Rent","Nederlander Theatre",2005-03-13,386631,528739,53.08,85,7284,1181,8,0,77.1
"The Lion King","Minskoff Theatre",2005-03-13,1122685,1264960,78.93,100,14223,1801,8,0,98.72
"The Phantom of the Opera","Majestic Theatre",2005-03-13,701287,1002310,55.31,200,12680,1607,8,0,98.63
"The Producers","St. James Theatre",2005-03-13,842538,1042163,68.72,240,12260,1706,8,0,89.83
"Twelve Angry Men","American Airlines Theatre",2005-03-13,253685,470800,53.28,86.25,4761,740,8,0,80.42
"Wicked","Gershwin Theatre",2005-03-13,1210505,1155784,83.64,240,14472,1809,8,0,100
"Avenue Q","John Golden Theatre",2005-03-20,497020,480786,78.15,201.25,6360,796,8,0,99.87
"Beauty and the Beast","Palace Theatre",2005-03-20,760824,845808,64.06,100,11876,1509,8,0,98.38
"Brooklyn","Plymouth Theatre",2005-03-20,277262,727492,47.75,95,5806,1044,8,0,69.52
"Brooklyn Boy","Biltmore Theatre",2005-03-20,219212,368611,50.34,78,4355,650,8,0,83.75
"Chicago","Ambassador Theatre",2005-03-20,575012,716419,66.96,240,8587,1080,8,0,99.39
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-03-20,181046,532245,54.56,86.25,3318,999,7,0,47.45
"Democracy","Brooks Atkinson Theatre",2005-03-20,172945,660140,51.97,95,3328,1052,8,0,39.54
"Dirty Rotten Scoundrels","Imperial Theatre",2005-03-20,738317,946981,68.41,101.25,10793,1435,8,0,94.02
"Fiddler on the Roof","Minskoff Theatre",2005-03-20,732443,1071158,62.36,100,11745,1691,8,0,86.82
"Good Vibrations","Eugene O'Neill Theatre",2005-03-20,325206,749350,62.72,100,5185,1077,8,0,60.18
